Pool Price

""

Date (HE),Price ($),30Ravg ($),AIL Demand (MW)
"08/18/2020 06","30.63","63.11","8286.0"
"08/18/2020 07","34.98","63.13","8411.0"
"08/18/2020 08","33.45","63.15","8689.0"
"08/18/2020 09","38.24","63.17","9094.0"
"08/18/2020 10","39.91","63.19","9425.0"
"08/18/2020 11","39.86","63.20","9731.0"
"08/18/2020 12","40.20","63.21","10024.0"
"08/18/2020 13","40.04","63.22","10192.0"
"08/18/2020 14","93.53","63.31","10241.0"
"08/18/2020 15","100.49","63.40","10316.0"
"08/18/2020 16","424.43","63.93","10395.0"
"08/18/2020 17","60.99","63.97","10430.0"
"08/18/2020 18","52.96","63.99","10392.0"
"08/18/2020 19","41.18","63.99","10296.0"
"08/18/2020 20","46.75","64.01","10181.0"
"08/18/2020 21","38.38","64.02","9937.0"
"08/18/2020 22","39.49","64.03","9824.0"
"08/18/2020 23","35.22","64.05","9462.0"
"08/18/2020 24","35.94","64.06","9036.0"
"08/19/2020 01","30.18","64.06","8711.0"
"08/19/2020 02","30.04","64.07","8490.0"
"08/19/2020 03","28.99","64.08","8325.0"
"08/19/2020 04","24.84","64.09","8275.0"
"08/19/2020 05","27.50","64.10","8279.0"
"08/19/2020 06","29.51","64.12","8364.0"
"08/19/2020 07","30.18","64.12","8513.0"
"08/19/2020 08","30.22","64.12","8836.0"
"08/19/2020 09","32.86","64.12","9117.0"
"08/19/2020 10","33.95","64.12","9316.0"
"08/19/2020 11","35.68","64.13","9544.0"
"08/19/2020 12","39.29","64.13","9740.0"
"08/19/2020 13","45.38","64.14","9861.0"
"08/19/2020 14","45.95","64.15","9945.0"
"08/19/2020 15","201.70","64.38","9963.0"
"08/19/2020 16","280.53","64.71","9948.0"
"08/19/2020 17","675.23","65.57","9961.0"
"08/19/2020 18","716.19","66.47","9957.0"
"08/19/2020 19","263.08","66.79","9784.0"
"08/19/2020 20","39.75","66.79","9703.0"
"08/19/2020 21","38.33","66.79","9538.0"
"08/19/2020 22","34.44","66.79","9535.0"
"08/19/2020 23","31.92","66.78","9275.0"
"08/19/2020 24","29.96","66.77","8900.0"
"08/20/2020 01","27.82","66.76","8601.0"
"08/20/2020 02","29.46","66.77","8372.0"
"08/20/2020 03","30.03","66.77","8203.0"
"08/20/2020 04","28.24","66.77","8130.0"
"08/20/2020 05","28.59","66.77","8149.0"
"08/20/2020 06","29.63","66.78","8147.0"
"08/20/2020 07","30.46","66.78","8341.0"
"08/20/2020 08","29.98","66.79","8639.0"
"08/20/2020 09","32.91","66.80","8965.0"
"08/20/2020 10","37.79","66.81","9253.0"
"08/20/2020 11","39.84","66.81","9490.0"
"08/20/2020 12","41.26","66.83","9723.0"
"08/20/2020 13","41.08","66.84","9875.0"
"08/20/2020 14","36.12","66.84","9976.0"
"08/20/2020 15","39.47","66.84","9992.0"
"08/20/2020 16","39.55","66.84","9996.0"
"08/20/2020 17","39.50","66.85","9976.0"
"08/20/2020 18","34.48","66.84","9918.0"
"08/20/2020 19","28.26","66.83","9714.0"
"08/20/2020 20","25.78","66.82","9530.0"
"08/20/2020 21","28.36","66.81","9446.0"
"08/20/2020 22","27.43","66.80","9392.0"
"08/20/2020 23","17.32","66.78","9180.0"
"08/20/2020 24","20.42","66.76","8849.0"
"08/21/2020 01","23.12","66.75","8546.0"
"08/21/2020 02","24.74","66.75","8363.0"
"08/21/2020 03","23.09","66.74","8230.0"
"08/21/2020 04","24.85","66.74","8200.0"
"08/21/2020 05","26.52","66.74","8207.0"
"08/21/2020 06","28.88","66.75","8274.0"
"08/21/2020 07","28.88","66.75","8457.0"
"08/21/2020 08","29.17","66.75","8744.0"
"08/21/2020 09","31.43","66.75","9057.0"
"08/21/2020 10","35.08","66.75","9291.0"
"08/21/2020 11","36.36","66.76","9538.0"
"08/21/2020 12","37.44","66.76","9727.0"
"08/21/2020 13","39.74","66.76","9846.0"
"08/21/2020 14","39.80","66.75","9922.0"
"08/21/2020 15","39.78","66.75","9960.0"
"08/21/2020 16","58.81","65.88","10012.0"
"08/21/2020 17","44.40","65.26","10055.0"
"08/21/2020 18","36.60","64.70","10015.0"
"08/21/2020 19","36.54","64.58","9835.0"
"08/21/2020 20","34.76","64.46","9657.0"
"08/21/2020 21","34.63","64.45","9445.0"
"08/21/2020 22","33.01","64.45","9386.0"
"08/21/2020 23","32.10","64.44","9140.0"
"08/21/2020 24","30.91","64.43","8825.0"
"08/22/2020 01","30.01","64.42","8579.0"
"08/22/2020 02","29.44","64.42","8383.0"
"08/22/2020 03","29.35","64.42","8239.0"
"08/22/2020 04","28.32","64.41","8136.0"
"08/22/2020 05","27.58","64.41","8148.0"
"08/22/2020 06","25.65","64.40","8159.0"
"08/22/2020 07","26.19","64.39","8262.0"
"08/22/2020 08","25.71","64.38","8426.0"
"08/22/2020 09","25.92","64.37","8648.0"
"08/22/2020 10","26.75","64.35","8869.0"
"08/22/2020 11","27.36","64.34","9035.0"
"08/22/2020 12","29.33","64.32","9123.0"
"08/22/2020 13","29.40","64.31","9148.0"
"08/22/2020 14","29.36","64.30","9089.0"
"08/22/2020 15","29.38","64.29","9078.0"
"08/22/2020 16","30.49","64.28","9116.0"
"08/22/2020 17","33.65","64.27","9203.0"
"08/22/2020 18","36.47","64.28","9280.0"
"08/22/2020 19","35.70","64.29","9203.0"
"08/22/2020 20","31.94","64.29","9021.0"
"08/22/2020 21","29.36","64.29","8916.0"
"08/22/2020 22","29.32","64.29","8918.0"
"08/22/2020 23","29.16","64.29","8716.0"
"08/22/2020 24","29.33","64.29","8437.0"
"08/23/2020 01","29.39","64.29","8184.0"
"08/23/2020 02","29.46","64.29","8003.0"
"08/23/2020 03","29.29","64.29","7959.0"
"08/23/2020 04","29.01","64.28","7887.0"
"08/23/2020 05","28.36","64.28","7802.0"
"08/23/2020 06","28.52","64.28","7882.0"
"08/23/2020 07","28.99","64.28","7873.0"
"08/23/2020 08","29.00","64.28","7928.0"
"08/23/2020 09","29.41","64.27","8131.0"
"08/23/2020 10","31.73","64.28","8397.0"
"08/23/2020 11","33.94","64.28","8599.0"
"08/23/2020 12","34.76","64.29","8806.0"
"08/23/2020 13","34.58","64.29","8936.0"
"08/23/2020 14","34.51","64.30","8935.0"
"08/23/2020 15","34.43","64.31","8985.0"
"08/23/2020 16","34.50","64.32","9062.0"
"08/23/2020 17","34.85","64.32","9207.0"
"08/23/2020 18","36.91","64.33","9363.0"
"08/23/2020 19","35.26","64.35","9319.0"
"08/23/2020 20","31.58","64.36","9156.0"
"08/23/2020 21","30.77","64.38","9063.0"
"08/23/2020 22","31.33","64.40","9123.0"
"08/23/2020 23","29.62","64.40","8842.0"
"08/23/2020 24","27.81","64.40","8481.0"
"08/24/2020 01","22.39","64.40","8247.0"
"08/24/2020 02","21.86","64.39","8105.0"
"08/24/2020 03","26.07","64.40","8030.0"
"08/24/2020 04","26.55","64.41","7958.0"
"08/24/2020 05","26.39","64.42","7995.0"
"08/24/2020 06","26.46","64.41","8159.0"
"08/24/2020 07","28.48","64.41","8322.0"
"08/24/2020 08","21.49","64.40","8513.0"
"08/24/2020 09","28.53","64.40","8877.0"
"08/24/2020 10","29.52","64.40","9147.0"
"08/24/2020 11","31.37","64.40","9403.0"
"08/24/2020 12","33.34","64.40","9552.0"
"08/24/2020 13","33.51","64.39","9670.0"
"08/24/2020 14","34.20","64.39","9773.0"
"08/24/2020 15","34.09","64.40","9786.0"
"08/24/2020 16","34.21","64.40","9866.0"
"08/24/2020 17","37.21","64.40","9944.0"
"08/24/2020 18","35.88","64.40","9932.0"
"08/24/2020 19","34.32","64.40","9737.0"
"08/24/2020 20","31.17","64.40","9468.0"
"08/24/2020 21","28.90","64.39","9283.0"
"08/24/2020 22","28.26","64.38","9216.0"
"08/24/2020 23","26.82","64.37","8926.0"
"08/24/2020 24","20.40","64.35","8627.0"
"08/25/2020 01","23.14","64.34","8357.0"
"08/25/2020 02","23.64","64.33","8208.0"
"08/25/2020 03","24.18","64.32","8097.0"
"08/25/2020 04","23.07","64.31","8012.0"
"08/25/2020 05","22.31","64.30","7994.0"
"08/25/2020 06","24.41","64.30","8112.0"
"08/25/2020 07","25.30","64.29","8299.0"
"08/25/2020 08","28.54","64.29","8577.0"
"08/25/2020 09","29.04","64.29","8843.0"
"08/25/2020 10","32.31","64.29","9036.0"
"08/25/2020 11","32.08","64.28","9227.0"
"08/25/2020 12","35.69","64.28","9434.0"
"08/25/2020 13","36.84","64.29","9507.0"
"08/25/2020 14","36.84","64.26","9627.0"
"08/25/2020 15","36.92","64.25","9692.0"
"08/25/2020 16","46.99","64.26","9708.0"
"08/25/2020 17","46.90","64.27","9777.0"
"08/25/2020 18","37.91","64.27","9816.0"
"08/25/2020 19","36.00","64.28","9650.0"
"08/25/2020 20","34.87","64.28","9465.0"
"08/25/2020 21","33.98","64.28","9307.0"
"08/25/2020 22","34.16","64.28","9271.0"
"08/25/2020 23","32.40","64.28","8901.0"
"08/25/2020 24","28.40","64.28","8481.0"
"08/26/2020 01","27.85","64.28","8228.0"
"08/26/2020 02","24.49","64.27","8059.0"
"08/26/2020 03","21.41","64.27","8041.0"
"08/26/2020 04","24.98","64.27","7938.0"
"08/26/2020 05","16.73","64.25","7753.0"
"08/26/2020 06","19.47","64.24","7887.0"
"08/26/2020 07","27.41","64.24","8099.0"
"08/26/2020 08","28.79","64.25","8377.0"
"08/26/2020 09","30.08","64.25","8722.0"
"08/26/2020 10","33.00","64.26","8995.0"
"08/26/2020 11","34.07","64.26","9219.0"
"08/26/2020 12","35.24","64.26","9428.0"
"08/26/2020 13","35.39","64.26","9572.0"
"08/26/2020 14","39.19","64.26","9647.0"
"08/26/2020 15","39.16","64.27","9782.0"
"08/26/2020 16","52.18","64.22","9841.0"
"08/26/2020 17","52.00","63.24","9880.0"
"08/26/2020 18","112.61","62.40","9808.0"
"08/26/2020 19","67.55","61.48","9594.0"
"08/26/2020 20","40.83","60.67","9430.0"
"08/26/2020 21","38.53","60.64","9299.0"
"08/26/2020 22","35.85","60.63","9281.0"
"08/26/2020 23","34.01","60.63","8945.0"
"08/26/2020 24","31.09","60.63","8634.0"
"08/27/2020 01","28.98","60.62","8374.0"
"08/27/2020 02","28.99","60.62","8253.0"
"08/27/2020 03","28.65","60.62","8155.0"
"08/27/2020 04","28.60","60.63","8117.0"
"08/27/2020 05","28.80","60.64","8157.0"
"08/27/2020 06","28.92","60.64","8211.0"
"08/27/2020 07","31.33","60.64","8449.0"
"08/27/2020 08","31.38","60.65","8783.0"
"08/27/2020 09","34.09","60.65","9034.0"
"08/27/2020 10","34.21","60.65","9185.0"
"08/27/2020 11","34.66","60.65","9313.0"
"08/27/2020 12","34.87","60.64","9447.0"
"08/27/2020 13","37.93","60.36","9524.0"
"08/27/2020 14","42.86","59.62","9552.0"
"08/27/2020 15","69.09","58.77","9582.0"
"08/27/2020 16","177.05","58.62","9449.0"
"08/27/2020 17","76.92","58.08","9477.0"
"08/27/2020 18","140.28","57.59","9389.0"
"08/27/2020 19","38.34","56.98","9236.0"
"08/27/2020 20","35.36","56.82","9121.0"
"08/27/2020 21","34.77","56.82","9079.0"
"08/27/2020 22","37.76","56.82","9111.0"
"08/27/2020 23","34.66","56.82","8858.0"
"08/27/2020 24","34.54","56.82","8558.0"
"08/28/2020 01","30.65","56.83","8305.0"
"08/28/2020 02","29.74","56.83","8174.0"
"08/28/2020 03","29.71","56.83","8083.0"
"08/28/2020 04","29.06","56.84","8026.0"
"08/28/2020 05","28.76","56.85","8061.0"
"08/28/2020 06","29.54","56.86","8176.0"
"08/28/2020 07","29.79","56.86","8387.0"
"08/28/2020 08","30.25","56.86","8656.0"
"08/28/2020 09","34.60","56.87","8939.0"
"08/28/2020 10","35.15","56.86","9147.0"
"08/28/2020 11","34.72","56.86","9270.0"
"08/28/2020 12","34.72","56.62","9294.0"
"08/28/2020 13","34.51","56.37","9351.0"
"08/28/2020 14","34.59","55.83","9412.0"
"08/28/2020 15","36.25","54.81","9442.0"
"08/28/2020 16","37.50","53.78","9457.0"
"08/28/2020 17","37.55","52.79","9513.0"
"08/28/2020 18","37.65","51.80","9498.0"
"08/28/2020 19","36.63","50.82","9302.0"
"08/28/2020 20","34.17","50.63","9050.0"
"08/28/2020 21","32.10","50.62","9008.0"
"08/28/2020 22","32.69","50.62","8984.0"
"08/28/2020 23","29.77","50.61","8771.0"
"08/28/2020 24","27.42","50.60","8501.0"
"08/29/2020 01","23.54","50.59","8251.0"
"08/29/2020 02","25.11","50.58","8123.0"
"08/29/2020 03","21.91","50.57","8074.0"
"08/29/2020 04","20.37","50.55","8087.0"
"08/29/2020 05","26.15","50.55","8060.0"
"08/29/2020 06","25.15","50.54","8083.0"
"08/29/2020 07","23.30","50.53","8148.0"
"08/29/2020 08","5.99","50.50","8221.0"
"08/29/2020 09","17.67","50.48","8395.0"
"08/29/2020 10","23.81","50.46","8599.0"
"08/29/2020 11","23.33","50.42","8732.0"
"08/29/2020 12","21.61","50.24","8860.0"
"08/29/2020 13","23.54","49.67","8886.0"
"08/29/2020 14","22.24","48.66","8822.0"
"08/29/2020 15","25.61","47.66","8761.0"
"08/29/2020 16","28.82","46.66","8750.0"
"08/29/2020 17","32.97","45.67","8821.0"
"08/29/2020 18","34.15","44.81","8889.0"
"08/29/2020 19","34.01","44.17","8807.0"
"08/29/2020 20","31.60","43.64","8700.0"
"08/29/2020 21","29.35","43.60","8676.0"
"08/29/2020 22","32.32","43.58","8684.0"
"08/29/2020 23","28.86","43.57","8443.0"
"08/29/2020 24","27.14","43.56","8192.0"
"08/30/2020 01","19.36","43.53","8028.0"
"08/30/2020 02","23.16","43.53","7899.0"
"08/30/2020 03","22.11","43.52","7791.0"
"08/30/2020 04","19.08","43.50","7763.0"
"08/30/2020 05","18.33","43.49","7788.0"
"08/30/2020 06","1.27","43.45","7849.0"
"08/30/2020 07","8.03","43.41","7887.0"
"08/30/2020 08","17.91","43.39","7921.0"
"08/30/2020 09","24.37","43.37","8103.0"
"08/30/2020 10","27.89","43.36","8276.0"
"08/30/2020 11","29.21","43.34","8463.0"
"08/30/2020 12","29.42","43.22","8647.0"
"08/30/2020 13","33.81","43.15","8704.0"
"08/30/2020 14","29.73","43.12","8698.0"
"08/30/2020 15","29.84","43.10","8750.0"
"08/30/2020 16","29.89","42.47","8816.0"
"08/30/2020 17","30.96","41.76","8920.0"
"08/30/2020 18","31.08","41.57","8997.0"
"08/30/2020 19","29.10","41.55","8887.0"
"08/30/2020 20","29.69","41.54","8767.0"
"08/30/2020 21","29.58","41.54","8767.0"
"08/30/2020 22","28.47","41.54","8756.0"
"08/30/2020 23","24.48","41.53","8528.0"
"08/30/2020 24","20.35","41.51","8184.0"
"08/31/2020 01","18.03","41.49","7964.0"
"08/31/2020 02","18.22","41.48","7912.0"
"08/31/2020 03","18.22","41.46","7855.0"
"08/31/2020 04","18.17","41.45","7817.0"
"08/31/2020 05","17.87","41.43","7877.0"
"08/31/2020 06","25.51","41.43","8039.0"
"08/31/2020 07","29.36","41.43","8347.0"
"08/31/2020 08","32.35","41.44","8661.0"
"08/31/2020 09","33.82","41.45","8826.0"
"08/31/2020 10","34.06","41.45","8983.0"
"08/31/2020 11","39.39","41.44","9129.0"
"08/31/2020 12","37.13","41.42","9251.0"
"08/31/2020 13","36.87","41.40","9281.0"
"08/31/2020 14","43.42","41.36","9299.0"
"08/31/2020 15","35.51","41.30","9340.0"
"08/31/2020 16","34.29","40.96","9374.0"
"08/31/2020 17","33.88","40.83","9392.0"
"08/31/2020 18","29.89","40.31","9396.0"
"08/31/2020 19","29.19","40.13","9216.0"
"08/31/2020 20","28.73","40.10","9077.0"
"08/31/2020 21","28.23","40.09","9091.0"
"08/31/2020 22","23.54","40.07","8984.0"
"08/31/2020 23","11.67","40.03","8690.0"
"08/31/2020 24","0.00","39.98","8374.0"
"09/01/2020 01","0.00","39.93","8140.0"
"09/01/2020 02","0.00","39.88","7927.0"
"09/01/2020 03","0.00","39.84","7850.0"
"09/01/2020 04","0.00","39.80","7856.0"
"09/01/2020 05","20.98","39.79","7948.0"
"09/01/2020 06","27.92","39.79","8092.0"
"09/01/2020 07","28.77","39.79","8317.0"
"09/01/2020 08","24.87","39.79","8588.0"
"09/01/2020 09","28.06","39.79","8847.0"
"09/01/2020 10","29.94","39.77","9049.0"
"09/01/2020 11","28.76","39.72","9186.0"
"09/01/2020 12","32.07","39.69","9339.0"
"09/01/2020 13","33.26","39.68","9389.0"
"09/01/2020 14","33.20","39.65","9404.0"
"09/01/2020 15","34.69","39.61","9341.0"
"09/01/2020 16","33.67","39.36","9334.0"
"09/01/2020 17","33.20","38.87","9396.0"
"09/01/2020 18","33.16","38.03","9385.0"
"09/01/2020 19","33.14","37.84","9256.0"
"09/01/2020 20","33.25","37.80","9104.0"
"09/01/2020 21","31.98","37.77","9072.0"
"09/01/2020 22","31.55","37.76","8995.0"
"09/01/2020 23","28.09","37.75","8659.0"
"09/01/2020 24","27.42","37.73","8343.0"
"09/02/2020 01","25.94","37.73","8114.0"
"09/02/2020 02","3.12","37.69","8047.0"
"09/02/2020 03","4.02","37.66","7918.0"
"09/02/2020 04","10.46","37.64","7882.0"
"09/02/2020 05","0.00","37.62","7920.0"
"09/02/2020 06","4.73","37.60","8034.0"
"09/02/2020 07","24.20","37.61","8361.0"
"09/02/2020 08","26.65","37.62","8652.0"
"09/02/2020 09","28.05","37.63","8855.0"
"09/02/2020 10","27.87","37.64","9005.0"
"09/02/2020 11","26.94","37.63","9091.0"
"09/02/2020 12","27.22","37.63","9244.0"
"09/02/2020 13","31.51","37.62","9240.0"
"09/02/2020 14","35.45","37.61","9203.0"
"09/02/2020 15","37.64","37.62","9204.0"
"09/02/2020 16","36.35","37.61","9212.0"
"09/02/2020 17","37.21","37.62","9215.0"
"09/02/2020 18","37.64","37.63","9194.0"
"09/02/2020 19","37.77","37.65","9031.0"
"09/02/2020 20","37.79","37.67","8920.0"
"09/02/2020 21","40.19","37.69","8950.0"
"09/02/2020 22","40.15","37.71","8877.0"
"09/02/2020 23","37.23","37.72","8561.0"
"09/02/2020 24","35.86","37.74","8275.0"
"09/03/2020 01","34.21","37.74","8117.0"
"09/03/2020 02","32.60","37.75","8028.0"
"09/03/2020 03","32.68","37.76","7987.0"
"09/03/2020 04","33.32","37.77","7919.0"
"09/03/2020 05","32.46","37.79","7930.0"
"09/03/2020 06","33.66","37.80","8091.0"
"09/03/2020 07","39.57","37.81","8434.0"
"09/03/2020 08","39.73","37.83","8670.0"
"09/03/2020 09","39.79","37.84","8842.0"
"09/03/2020 10","39.74","37.84","8962.0"
"09/03/2020 11","39.35","37.84","9107.0"
"09/03/2020 12","35.78","37.84","9231.0"
"09/03/2020 13","35.57","37.83","9293.0"
"09/03/2020 14","36.42","37.83","9314.0"
"09/03/2020 15","41.47","37.83","9344.0"
"09/03/2020 16","50.33","37.85","9378.0"
"09/03/2020 17","51.29","37.86","9372.0"
"09/03/2020 18","47.47","37.87","9364.0"
"09/03/2020 19","37.79","37.87","9253.0"
"09/03/2020 20","39.44","37.87","9173.0"
"09/03/2020 21","40.48","37.88","9180.0"
"09/03/2020 22","39.51","37.88","9067.0"
"09/03/2020 23","37.69","37.89","8761.0"
"09/03/2020 24","36.00","37.90","8463.0"
"09/04/2020 01","35.92","37.91","8303.0"
"09/04/2020 02","35.19","37.92","8180.0"
"09/04/2020 03","31.83","37.92","8060.0"
"09/04/2020 04","31.78","37.93","7905.0"
"09/04/2020 05","31.43","37.93","7913.0"
"09/04/2020 06","32.14","37.94","8061.0"
"09/04/2020 07","34.65","37.94","8420.0"
"09/04/2020 08","32.64","37.95","8719.0"
"09/04/2020 09","35.60","37.96","8933.0"
"09/04/2020 10","38.16","37.97","9043.0"
"09/04/2020 11","37.43","37.97","9146.0"
"09/04/2020 12","38.03","37.96","9242.0"
"09/04/2020 13","40.55","37.97","9329.0"
"09/04/2020 14","42.94","37.97","9310.0"
"09/04/2020 15","40.63","37.97","9347.0"
"09/04/2020 16","44.71","37.94","9363.0"
"09/04/2020 17","44.21","37.89","9410.0"
"09/04/2020 18","42.44","37.74","9360.0"
"09/04/2020 19","51.99","37.76","9236.0"
"09/04/2020 20","47.14","37.77","9054.0"
"09/04/2020 21","39.93","37.77","9042.0"
"09/04/2020 22","38.78","37.78","8962.0"
"09/04/2020 23","35.96","37.79","8718.0"
"09/04/2020 24","34.84","37.80","8395.0"
"09/05/2020 01","34.87","37.81","8180.0"
"09/05/2020 02","34.92","37.83","8051.0"
"09/05/2020 03","34.39","37.85","7948.0"
"09/05/2020 04","31.66","37.87","7879.0"
"09/05/2020 05","33.96","37.88","7842.0"
"09/05/2020 06","32.18","37.89","7880.0"
"09/05/2020 07","34.88","37.90","7973.0"
"09/05/2020 08","34.82","37.92","8065.0"
"09/05/2020 09","36.22","37.92","8280.0"
"09/05/2020 10","42.56","37.93","8530.0"
"09/05/2020 11","39.26","37.94","8729.0"
"09/05/2020 12","41.03","37.94","8875.0"
"09/05/2020 13","39.61","37.90","8992.0"
"09/05/2020 14","180.33","38.03","8943.0"
"09/05/2020 15","43.60","37.79","8990.0"
"09/05/2020 16","36.92","37.77","9131.0"
"09/05/2020 17","38.11","37.77","9184.0"
"09/05/2020 18","37.34","37.76","9174.0"
"09/05/2020 19","36.30","37.76","9012.0"
"09/05/2020 20","35.01","37.76","8868.0"
"09/05/2020 21","36.72","37.77","8969.0"
"09/05/2020 22","35.14","37.78","8872.0"
"09/05/2020 23","34.96","37.79","8611.0"
"09/05/2020 24","35.05","37.80","8357.0"
"09/06/2020 01","34.94","37.80","8178.0"
"09/06/2020 02","34.95","37.83","8041.0"
"09/06/2020 03","34.65","37.86","7935.0"
"09/06/2020 04","33.04","37.89","7890.0"
"09/06/2020 05","33.94","37.91","7911.0"
"09/06/2020 06","34.80","37.93","7950.0"
"09/06/2020 07","34.92","37.96","8018.0"
"09/06/2020 08","34.10","37.98","8106.0"
"09/06/2020 09","34.67","38.00","8230.0"
"09/06/2020 10","34.85","38.01","8450.0"
"09/06/2020 11","34.87","38.02","8623.0"
"09/06/2020 12","36.48","38.03","8716.0"
"09/06/2020 13","42.44","38.05","8784.0"
"09/06/2020 14","39.86","38.07","8808.0"
"09/06/2020 15","38.87","38.08","8759.0"
"09/06/2020 16","39.84","38.10","8771.0"
"09/06/2020 17","41.39","38.11","8815.0"
"09/06/2020 18","39.28","38.13","8904.0"
"09/06/2020 19","37.99","38.14","8802.0"
"09/06/2020 20","35.37","38.16","8737.0"
"09/06/2020 21","35.43","38.17","8805.0"
"09/06/2020 22","35.34","38.20","8703.0"
"09/06/2020 23","32.38","38.22","8494.0"
"09/06/2020 24","29.78","38.25","8283.0"
"09/07/2020 01","25.75","38.28","8112.0"
"09/07/2020 02","24.84","38.32","7987.0"
"09/07/2020 03","25.97","38.32","7960.0"
"09/07/2020 04","24.47","38.32","7928.0"
"09/07/2020 05","24.69","38.31","7926.0"
"09/07/2020 06","24.32","38.31","7968.0"
"09/07/2020 07","25.65","38.31","8070.0"
"09/07/2020 08","23.80","38.31","8159.0"
"09/07/2020 09","26.33","38.33","8348.0"
"09/07/2020 10","27.41","38.34","8601.0"
"09/07/2020 11","30.22","38.35","8816.0"
"09/07/2020 12","31.02","38.37","8945.0"
"09/07/2020 13","30.98","38.38","8975.0"
"09/07/2020 14","29.10","38.39","8953.0"
"09/07/2020 15","29.16","38.40","8920.0"
"09/07/2020 16","29.18","38.42","8874.0"
"09/07/2020 17","29.60","38.43","8957.0"
"09/07/2020 18","33.66","38.44","9016.0"
"09/07/2020 19","33.62","38.45","8899.0"
"09/07/2020 20","37.33","38.48","8870.0"
"09/07/2020 21","37.66","38.52","8991.0"
"09/07/2020 22","36.29","38.55","8892.0"
"09/07/2020 23","35.05","38.56","8592.0"
"09/07/2020 24","33.78","38.57","8311.0"
"09/08/2020 01","34.67","38.57","8099.0"
"09/08/2020 02","31.53","38.58","7983.0"
"09/08/2020 03","30.95","38.58","7918.0"
"09/08/2020 04","29.30","38.59","7907.0"
"09/08/2020 05","29.98","38.60","7944.0"
"09/08/2020 06","27.28","38.61","8084.0"
"09/08/2020 07","29.28","38.62","8455.0"
"09/08/2020 08","29.64","38.64","8821.0"
"09/08/2020 09","31.03","38.65","9006.0"
"09/08/2020 10","31.18","38.66","9067.0"
"09/08/2020 11","29.57","38.66","9163.0"
"09/08/2020 12","33.46","38.67","9237.0"
"09/08/2020 13","29.90","38.67","9214.0"
"09/08/2020 14","33.41","38.68","9222.0"
"09/08/2020 15","33.94","38.68","9238.0"
"09/08/2020 16","36.81","38.69","9260.0"
"09/08/2020 17","37.74","38.71","9309.0"
"09/08/2020 18","37.66","38.72","9297.0"
"09/08/2020 19","37.67","38.73","9139.0"
"09/08/2020 20","37.69","38.74","9012.0"
"09/08/2020 21","55.80","38.78","8987.0"
"09/08/2020 22","35.88","38.78","8892.0"
"09/08/2020 23","33.42","38.79","8564.0"
"09/08/2020 24","29.94","38.80","8244.0"
"09/09/2020 01","29.38","38.83","8049.0"
"09/09/2020 02","29.52","38.87","7930.0"
"09/09/2020 03","29.47","38.91","7860.0"
"09/09/2020 04","29.49","38.95","7854.0"
"09/09/2020 05","29.51","38.99","7871.0"
"09/09/2020 06","30.27","39.00","8021.0"
"09/09/2020 07","33.44","39.01","8376.0"
"09/09/2020 08","33.37","39.03","8651.0"
"09/09/2020 09","33.95","39.04","8816.0"
"09/09/2020 10","33.90","39.05","8957.0"
"09/09/2020 11","37.48","39.05","9099.0"
"09/09/2020 12","40.64","39.06","9239.0"
"09/09/2020 13","40.32","39.08","9325.0"
"09/09/2020 14","40.80","39.09","9393.0"
"09/09/2020 15","89.73","39.17","9350.0"
"09/09/2020 16","223.37","39.44","9321.0"
"09/09/2020 17","296.05","39.81","9379.0"
"09/09/2020 18","190.32","40.03","9371.0"
"09/09/2020 19","42.43","40.05","9241.0"
"09/09/2020 20","37.93","40.06","9205.0"
"09/09/2020 21","40.19","40.07","9280.0"
"09/09/2020 22","39.36","40.09","9133.0"
"09/09/2020 23","36.31","40.11","8792.0"
"09/09/2020 24","31.19","40.12","8412.0"
"09/10/2020 01","29.50","40.14","8184.0"
"09/10/2020 02","28.82","40.15","8112.0"
"09/10/2020 03","25.50","40.16","8050.0"
"09/10/2020 04","25.67","40.16","8029.0"
"09/10/2020 05","25.67","40.17","8028.0"
"09/10/2020 06","28.83","40.18","8128.0"
"09/10/2020 07","30.26","40.19","8473.0"
"09/10/2020 08","30.85","40.19","8816.0"
"09/10/2020 09","36.54","40.19","8999.0"
"09/10/2020 10","37.14","40.20","9120.0"
"09/10/2020 11","37.52","40.20","9258.0"
"09/10/2020 12","36.64","40.20","9360.0"
"09/10/2020 13","36.73","40.20","9389.0"
"09/10/2020 14","36.58","40.19","9403.0"
"09/10/2020 15","36.68","40.18","9478.0"
"09/10/2020 16","36.73","40.17","9549.0"
"09/10/2020 17","37.38","40.17","9625.0"
"09/10/2020 18","39.53","40.18","9645.0"
"09/10/2020 19","37.35","40.18","9446.0"
"09/10/2020 20","36.58","40.19","9331.0"
"09/10/2020 21","30.32","40.19","9335.0"
"09/10/2020 22","28.86","40.19","9192.0"
"09/10/2020 23","28.94","40.19","8835.0"
"09/10/2020 24","28.84","40.18","8456.0"
"09/11/2020 01","28.82","40.18","8194.0"
"09/11/2020 02","28.54","40.18","8084.0"
"09/11/2020 03","26.26","40.18","8002.0"
"09/11/2020 04","25.05","40.19","7955.0"
"09/11/2020 05","27.47","40.20","8005.0"
"09/11/2020 06","28.18","40.20","8147.0"
"09/11/2020 07","28.95","40.20","8429.0"
"09/11/2020 08","30.47","40.21","8673.0"
"09/11/2020 09","31.35","40.21","8827.0"
"09/11/2020 10","36.54","40.22","8935.0"
