Pool Price

""

Date (HE),Price ($),30Ravg ($),AIL Demand (MW)
"07/14/2020 07","20.66","32.04","8253.0"
"07/14/2020 08","15.30","32.04","8521.0"
"07/14/2020 09","24.91","32.05","8782.0"
"07/14/2020 10","32.40","32.06","8993.0"
"07/14/2020 11","35.45","32.08","9147.0"
"07/14/2020 12","35.47","32.09","9250.0"
"07/14/2020 13","35.58","32.10","9325.0"
"07/14/2020 14","34.96","32.10","9399.0"
"07/14/2020 15","32.82","32.11","9437.0"
"07/14/2020 16","31.15","32.11","9530.0"
"07/14/2020 17","33.90","32.11","9602.0"
"07/14/2020 18","33.91","32.12","9639.0"
"07/14/2020 19","32.32","32.12","9521.0"
"07/14/2020 20","33.28","32.12","9448.0"
"07/14/2020 21","33.90","32.13","9307.0"
"07/14/2020 22","34.57","32.13","9105.0"
"07/14/2020 23","32.91","32.14","8943.0"
"07/14/2020 24","31.20","32.15","8591.0"
"07/15/2020 01","31.01","32.16","8321.0"
"07/15/2020 02","30.00","32.18","8175.0"
"07/15/2020 03","29.22","32.19","8089.0"
"07/15/2020 04","28.88","32.21","8048.0"
"07/15/2020 05","31.42","32.23","8060.0"
"07/15/2020 06","31.96","32.25","8090.0"
"07/15/2020 07","32.02","32.27","8271.0"
"07/15/2020 08","31.49","32.28","8609.0"
"07/15/2020 09","33.06","32.30","8884.0"
"07/15/2020 10","34.04","32.31","9072.0"
"07/15/2020 11","35.72","32.31","9306.0"
"07/15/2020 12","36.06","32.32","9475.0"
"07/15/2020 13","36.19","32.33","9558.0"
"07/15/2020 14","36.69","32.34","9563.0"
"07/15/2020 15","35.19","32.34","9573.0"
"07/15/2020 16","33.83","32.35","9636.0"
"07/15/2020 17","33.82","32.35","9670.0"
"07/15/2020 18","34.01","32.36","9656.0"
"07/15/2020 19","33.83","32.37","9546.0"
"07/15/2020 20","33.77","32.37","9421.0"
"07/15/2020 21","32.96","32.37","9332.0"
"07/15/2020 22","94.67","32.46","9105.0"
"07/15/2020 23","364.00","32.92","8937.0"
"07/15/2020 24","40.63","32.94","8735.0"
"07/16/2020 01","39.00","32.96","8499.0"
"07/16/2020 02","31.85","32.98","8343.0"
"07/16/2020 03","31.09","33.00","8245.0"
"07/16/2020 04","29.68","33.01","8189.0"
"07/16/2020 05","29.78","33.03","8191.0"
"07/16/2020 06","29.78","33.04","8231.0"
"07/16/2020 07","29.74","33.05","8424.0"
"07/16/2020 08","27.44","33.05","8773.0"
"07/16/2020 09","31.66","33.05","9125.0"
"07/16/2020 10","34.52","33.05","9395.0"
"07/16/2020 11","38.45","33.05","9595.0"
"07/16/2020 12","40.31","33.01","9674.0"
"07/16/2020 13","35.20","32.99","9779.0"
"07/16/2020 14","38.55","32.99","9841.0"
"07/16/2020 15","35.07","32.97","9815.0"
"07/16/2020 16","34.53","32.96","9882.0"
"07/16/2020 17","36.55","32.92","9917.0"
"07/16/2020 18","34.04","32.90","9813.0"
"07/16/2020 19","33.53","32.85","9597.0"
"07/16/2020 20","30.42","32.79","9454.0"
"07/16/2020 21","29.25","32.78","9211.0"
"07/16/2020 22","29.23","32.77","9042.0"
"07/16/2020 23","27.67","32.76","8930.0"
"07/16/2020 24","28.70","32.75","8628.0"
"07/17/2020 01","29.37","32.75","8337.0"
"07/17/2020 02","26.32","32.74","8132.0"
"07/17/2020 03","23.63","32.73","7979.0"
"07/17/2020 04","23.32","32.71","7945.0"
"07/17/2020 05","23.75","32.70","7965.0"
"07/17/2020 06","28.54","32.70","8053.0"
"07/17/2020 07","29.71","32.70","8243.0"
"07/17/2020 08","29.77","32.71","8602.0"
"07/17/2020 09","30.06","32.70","8923.0"
"07/17/2020 10","30.45","32.70","9144.0"
"07/17/2020 11","34.74","32.70","9351.0"
"07/17/2020 12","37.31","32.70","9500.0"
"07/17/2020 13","37.39","32.68","9516.0"
"07/17/2020 14","37.63","32.68","9535.0"
"07/17/2020 15","37.57","32.67","9534.0"
"07/17/2020 16","36.31","32.67","9439.0"
"07/17/2020 17","33.87","32.67","9419.0"
"07/17/2020 18","32.28","32.67","9382.0"
"07/17/2020 19","29.85","32.67","9223.0"
"07/17/2020 20","29.87","32.66","9103.0"
"07/17/2020 21","28.56","32.66","8908.0"
"07/17/2020 22","24.50","32.65","8738.0"
"07/17/2020 23","20.37","32.64","8672.0"
"07/17/2020 24","17.05","32.62","8417.0"
"07/18/2020 01","18.89","32.60","8137.0"
"07/18/2020 02","6.59","32.57","8008.0"
"07/18/2020 03","15.70","32.56","7910.0"
"07/18/2020 04","19.16","32.54","7828.0"
"07/18/2020 05","19.93","32.53","7815.0"
"07/18/2020 06","19.99","32.51","7810.0"
"07/18/2020 07","19.51","32.49","7797.0"
"07/18/2020 08","19.16","32.47","7981.0"
"07/18/2020 09","25.52","32.46","8213.0"
"07/18/2020 10","25.10","32.45","8457.0"
"07/18/2020 11","29.12","32.43","8662.0"
"07/18/2020 12","29.74","32.31","8816.0"
"07/18/2020 13","29.84","32.18","8907.0"
"07/18/2020 14","29.25","32.06","8891.0"
"07/18/2020 15","29.14","32.01","8911.0"
"07/18/2020 16","29.71","31.99","8939.0"
"07/18/2020 17","29.82","31.97","9085.0"
"07/18/2020 18","29.79","31.88","9182.0"
"07/18/2020 19","29.84","31.80","9144.0"
"07/18/2020 20","29.67","31.78","9012.0"
"07/18/2020 21","29.71","31.78","8871.0"
"07/18/2020 22","29.76","31.77","8778.0"
"07/18/2020 23","29.69","31.76","8735.0"
"07/18/2020 24","31.03","31.76","8522.0"
"07/19/2020 01","28.97","31.75","8308.0"
"07/19/2020 02","27.29","31.75","8099.0"
"07/19/2020 03","24.58","31.74","7982.0"
"07/19/2020 04","23.69","31.73","7942.0"
"07/19/2020 05","21.20","31.72","7875.0"
"07/19/2020 06","20.26","31.71","7824.0"
"07/19/2020 07","20.12","31.70","7811.0"
"07/19/2020 08","21.20","31.68","7922.0"
"07/19/2020 09","24.16","31.66","8124.0"
"07/19/2020 10","27.99","31.63","8387.0"
"07/19/2020 11","29.71","31.54","8657.0"
"07/19/2020 12","29.81","31.39","8818.0"
"07/19/2020 13","34.10","30.83","8943.0"
"07/19/2020 14","34.22","30.71","9000.0"
"07/19/2020 15","34.70","30.61","9061.0"
"07/19/2020 16","37.90","30.27","9104.0"
"07/19/2020 17","37.83","30.21","9131.0"
"07/19/2020 18","38.18","30.15","9184.0"
"07/19/2020 19","37.01","30.10","9143.0"
"07/19/2020 20","34.75","30.08","9008.0"
"07/19/2020 21","30.92","30.07","8814.0"
"07/19/2020 22","28.21","30.06","8694.0"
"07/19/2020 23","23.56","30.05","8599.0"
"07/19/2020 24","30.19","30.04","8348.0"
"07/20/2020 01","26.20","30.03","8100.0"
"07/20/2020 02","23.83","30.02","8042.0"
"07/20/2020 03","20.88","30.00","7954.0"
"07/20/2020 04","19.08","29.99","7917.0"
"07/20/2020 05","19.24","29.97","7967.0"
"07/20/2020 06","20.41","29.96","8039.0"
"07/20/2020 07","25.74","29.95","8254.0"
"07/20/2020 08","30.07","29.95","8647.0"
"07/20/2020 09","33.33","29.95","8971.0"
"07/20/2020 10","34.31","29.95","9237.0"
"07/20/2020 11","32.52","29.95","9431.0"
